SQL> SELECT A.JOB_NAME,'|',A.OWNER,'|',T.SCHED_TABLE
FTP_B2C_WSJXNETP101_PUZZLE                                       | B2C_MBC_JXNET_101              | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FTP_B2C_WSJXNETP201_PUZZLE                                       | B2C_MBC_JXNET_201              | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FTP_B2C_MOVICS_NEVADA                                            | B2C_NEVADA_BAIT01              | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FTP_BSC_NTSEC1_BANELCO                                           | B2C_NTSEC1_BANELCO             | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FTP_B2C_NTSEC1_DECOTEVE                                          | B2C_NTSEC1_DECOTEVE            | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FTP_B2C_NTSEC1_MEGASANT                                          | B2C_NTSEC1_MEGASANT            | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FTP_NTSEC1_B2C_TBANELCO                                          | B2C_NTSEC1_TBANELCO            | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MIGRA_NTSEC_BASTION2C                                            | B2C_NTSEC1_TBANELCO            | MIGRA_MOVIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FTP_B2C_NTSEC1_TELEDIFU                                          | B2C_NTSEC1_TELEDIFU            | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NTSEC_B2C_EXTCH_CORREO_FTP                                       | B2C_NTSEC_CORREO               | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B2C_NTSEC_EXTCH_CORREO_FTP                                       | B2C_NTSEC_CORREO               | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FTP_B2C_NTSEC_GIGARED                                            | B2C_NTSEC_GIGARED              | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FTP_NTSEC_B2C_PUZZLE                                             | B2C_NTSEC_PUZZLE               | COBRANZAS_Y_DEUDORES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
HDP_RSH_DUMP_4G_TELECOM_NOKIA_GET                                | B2C_PERSO                      | DATAWAREHOUSE_TERADATA_HUB_II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HDP_RS_TP_GUEST_NOKIA_MORAN_GET                                  | B2C_PERSO                      | DATAWAREHOUSE_TERADATA_HUB_II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HDP_RS_TP_GUEST_NOKIA_MOCN_GET                                   | B2C_PERSO                      | DATAWAREHOUSE_TERADATA_HUB_II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HDP_RS_TP_GUEST_GET                                              | B2C_PERSO                      | DATAWAREHOUSE_TERADATA_HUB_II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HDP_RS_TP_GUEST_HUAWEI_MOCN_GET                                  | B2C_PERSO                      | DATAWAREHOUSE_TERADATA_HUB_II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HDP_RS_TP_GUEST_HUAWEI_MORAN_GET                                 | B2C_PERSO                      | DATAWAREHOUSE_TERADATA_HUB_II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HDP_RS_TP_DUMP_3G_TELECOM_HUAWEI_GET                             | B2C_PERSO                      | DATAWAREHOUSE_TERADATA_HUB_III                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
HDP_RSH_DUMP_4G_TELECOM_HUAWEI_GET                               | B2C_PERSO                      | DATAWAREHOUSE_TERADATA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROANAC-ENV-PERSONAL-B2C                                          | B2C_PERSONAL_ROA               | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
RMGTP_PERSONAL_B2C                                               | B2C_PERSONAL_ROA               | CRM_TRANSF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
